"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","C02665V03225","NACE Rev 2 Economic Sector","UNIT","VALUE"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","H","Transportation and storage (H)","Euro","39641"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","I","Accommodation and food service activities (I)","Euro","17957"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","J","Information and communication (J)","Euro","49750"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","M","Professional, scientific and technical activities (M)","Euro","41368"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","N","Administrative and support service activities (N)","Euro","26884"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","O","Public administration and defence; compulsory social security (O)","Euro","46810"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","P","Education (P)","Euro","48368"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Q","Human health and social work activities (Q)","Euro","36764"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Y0900","Industry (B to E)","Euro","41747"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Y3500","Financial, insurance and real estate activities (K,L)","Euro","45121"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","23716"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","-","All NACE economic sectors","Euro","38156"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","F","Construction (F)","Euro","36882"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","28200"
